




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
aldonic acid catabolic process (GO:0046176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol catabolic process (GO:0046174)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
polyol biosynthetic process (GO:0046173)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
reactive nitrogen species metabolic process (GO:2001057)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
leucyl-tRNA aminoacylation (GO:0006429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to oxidative stress (GO:1902882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoleucyl-tRNA aminoacylation (GO:0006428)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histidyl-tRNA aminoacylation (GO:0006427)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycyl-tRNA aminoacylation (GO:0006426)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heme oxidation (GO:0006788)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound catabolic process (GO:0006787)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA aminoacylation (GO:0006424)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteinyl-tRNA aminoacylation (GO:0006423)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartyl-tRNA aminoacylation (GO:0006422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heme A biosynthetic process (GO:0006784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
asparaginyl-tRNA aminoacylation (GO:0006421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heme biosynthetic process (GO:0006783)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
arginyl-tRNA aminoacylation (GO:0006420)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX biosynthetic process (GO:0006782)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate catabolic process (GO:0046168)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate biosynthetic process (GO:0046167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol biosynthetic process (GO:0046165)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transmembrane transport (GO:1903960)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alcohol catabolic process (GO:0046164)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
heme a metabolic process (GO:0046160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-containing complex disassembly (GO:0032984)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for protein translation (GO:0006418)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of translation (GO:0006417)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound biosynthetic process (GO:0006779)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
translational termination (GO:0006415)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
translational elongation (GO:0006414)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
translational initiation (GO:0006413)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin metabolic process (GO:0006775)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
translation (GO:0006412)	103	0	.87	-	 < 0.01	1.00E00	1.00E00
selenocysteinyl-tRNA(Sec) biosynthetic process (GO:0097056)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine metabolic process (GO:0006772)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
riboflavin metabolic process (GO:0006771)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
L-glutamate biosynthetic process (GO:0097054)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anion transmembrane transport (GO:1903959)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic ion import across plasma membrane (GO:0099587)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
siroheme metabolic process (GO:0046156)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organophosphate ester transport (GO:0015748)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kynurenine metabolic process (GO:0070189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
biotin metabolic process (GO:0006768)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin metabolic process (GO:0006767)	51	0	.43	-	 < 0.01	1.00E00	1.00E00
vitamin metabolic process (GO:0006766)	61	0	.51	-	 < 0.01	1.00E00	1.00E00
mRNA catabolic process (GO:0006402)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribulose bisphosphate carboxylase complex assembly (GO:0110102)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA catabolic process (GO:0006401)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA modification (GO:0006400)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
L-proline biosynthetic process (GO:0055129)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dihydrofolate biosynthetic process (GO:0006761)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
pigment catabolic process (GO:0046149)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid metabolic process (GO:0072350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sporulation resulting in formation of a cellular spore (GO:0030435)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pigment biosynthetic process (GO:0046148)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin metabolic process (GO:0046146)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
D-alanine family amino acid biosynthetic process (GO:0046145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage (GO:0071267)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
D-alanine family amino acid metabolic process (GO:0046144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' L-methionine biosynthetic process (GO:0071266)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-methionine biosynthetic process (GO:0071265)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
corrin biosynthetic process (GO:0046140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	64	0	.54	-	 < 0.01	1.00E00	1.00E00
ATP biosynthetic process (GO:0006754)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
glutathione catabolic process (GO:0006751)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutathione biosynthetic process (GO:0006750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
light-independent bacteriochlorophyll biosynthetic process (GO:0036070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rescue of stalled ribosome (GO:0072344)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular lactam catabolic process (GO:0072340)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside catabolic process (GO:0046135)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside catabolic process (GO:0046133)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside metabolic process (GO:0046131)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipid A metabolic process (GO:0046493)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate metabolic process (GO:0046490)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of division septum assembly (GO:0032955)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cytokinetic process (GO:0032954)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein targeting to ER (GO:0045047)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione metabolic process (GO:0006749)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
FAD biosynthetic process (GO:0006747)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
light-independent chlorophyll biosynthetic process (GO:0036068)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquinone metabolic process (GO:0006743)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular lactam metabolic process (GO:0072338)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NADP biosynthetic process (GO:0006741)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
modified amino acid transport (GO:0072337)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADPH regeneration (GO:0006740)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside biosynthetic process (GO:0046129)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside metabolic process (GO:0046128)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glyoxylate metabolic process (GO:0046487)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerolipid metabolic process (GO:0046486)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transport (GO:0015718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADP metabolic process (GO:0006739)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
NADH regeneration (GO:0006735)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NADH metabolic process (GO:0006734)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
one-carbon metabolic process (GO:0006730)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
nonribosomal peptide biosynthetic process (GO:0019184)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid catabolic process (GO:0046479)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
queuosine metabolic process (GO:0046116)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
glycosylceramide catabolic process (GO:0046477)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosylceramide biosynthetic process (GO:0046476)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD(P)H dehydrogenase complex assembly (GO:0010275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase catabolic process (GO:0046113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase biosynthetic process (GO:0046112)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid biosynthetic process (GO:0046474)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid metabolic process (GO:0046473)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
thiosulfate transport (GO:0015709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrate transport (GO:0015706)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
chromate transport (GO:0015703)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin biosynthetic process (GO:0006729)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
arsenite transport (GO:0015700)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
triterpenoid metabolic process (GO:0006722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terpenoid metabolic process (GO:0006721)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
isoprenoid metabolic process (GO:0006720)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
uracil biosynthetic process (GO:0046107)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane lipid biosynthetic process (GO:0046467)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
membrane lipid catabolic process (GO:0046466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trehalose biosynthetic process (GO:0005992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trehalose metabolic process (GO:0005991)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CAAX-box protein processing (GO:0071586)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of helicase activity (GO:0051096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of helicase activity (GO:0051095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerolipid biosynthetic process (GO:0045017)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of developmental process (GO:0051094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small molecule biosynthetic process (GO:0044283)	195	0	1.64	-	 < 0.01	4.06E-01	1.00E00
small molecule catabolic process (GO:0044282)	53	0	.45	-	 < 0.01	1.00E00	1.00E00
sucrose biosynthetic process (GO:0005986)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid metabolic process (GO:0046459)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sucrose metabolic process (GO:0005985)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
disaccharide metabolic process (GO:0005984)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transport (GO:0071577)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycogen catabolic process (GO:0005980)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to abiotic stimulus (GO:0071214)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
valine biosynthetic process (GO:0009099)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dihydrofolate metabolic process (GO:0046452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leucine biosynthetic process (GO:0009098)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
diaminopimelate metabolic process (GO:0046451)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
isoleucine biosynthetic process (GO:0009097)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' posttranslational protein folding (GO:0051084)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine biosynthetic process (GO:0009094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' cotranslational protein folding (GO:0051083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homoserine metabolic process (GO:0009092)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication proofreading (GO:0045004)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homoserine biosynthetic process (GO:0009090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to plasma membrane (GO:0072659)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to membrane (GO:0072657)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate catabolic process (GO:0044275)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
sulfur compound catabolic process (GO:0044273)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycogen biosynthetic process (GO:0005978)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfur compound biosynthetic process (GO:0044272)	42	0	.35	-	 < 0.01	1.00E00	1.00E00
glycogen metabolic process (GO:0005977)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	332	0	2.79	-	 < 0.01	1.06E-01	1.00E00
polysaccharide metabolic process (GO:0005976)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
cytochrome c-heme linkage (GO:0018063)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FMN metabolic process (GO:0046444)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FAD metabolic process (GO:0046443)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via diaminopimelate (GO:0009089)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
threonine biosynthetic process (GO:0009088)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
single-species submerged biofilm formation (GO:0090609)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
methionine biosynthetic process (GO:0009086)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process (GO:0009085)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid biosynthetic process (GO:0009084)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
submerged biofilm formation (GO:0090605)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid catabolic process (GO:0009080)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine-N7)-methylation (GO:0070476)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA base methylation (GO:0070475)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to oxygen-containing compound (GO:1901700)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide metabolic process (GO:0044264)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate metabolic process (GO:0044262)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
D-amino acid biosynthetic process (GO:0046437)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plastoquinone biosynthetic process (GO:0010236)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-alanine metabolic process (GO:0046436)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid biosynthetic process (GO:0009079)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell wall organization (GO:0071555)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
nucleoside salvage (GO:0043174)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid metabolic process (GO:0009078)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cell wall organization or biogenesis (GO:0071554)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
nucleotide salvage (GO:0043173)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dihydrobiopterin metabolic process (GO:0051066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide catabolic process (GO:0043171)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family biosynthetic process (GO:0009073)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
protein transport across the cell outer membrane (GO:0098776)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family metabolic process (GO:0009072)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
serine family amino acid catabolic process (GO:0009071)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
serine family amino acid biosynthetic process (GO:0009070)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
inorganic ion homeostasis (GO:0098771)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cellular protein catabolic process (GO:0044257)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tryptophan biosynthetic process (GO:0000162)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular lipid metabolic process (GO:0044255)	78	0	.66	-	 < 0.01	1.00E00	1.00E00
serine family amino acid metabolic process (GO:0009069)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
inositol phosphate catabolic process (GO:0071545)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Gram-negative-bacterium-type cell wall biogenesis (GO:0043164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid catabolic process (GO:0009068)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid catabolic process (GO:0009065)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid metabolic process (GO:0009064)	37	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amino acid catabolic process (GO:0009063)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of DNA metabolic process (GO:0051052)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid catabolic process (GO:0009062)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of transport (GO:0051051)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anaerobic respiration (GO:0009061)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
aerobic respiration (GO:0009060)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
cellular respiration (GO:0045333)	37	0	.31	-	 < 0.01	1.00E00	1.00E00
rRNA modification (GO:0000154)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide catabolic process (GO:0044247)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein O-linked mannosylation (GO:0035269)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular lipid catabolic process (GO:0044242)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protein mannosylation (GO:0035268)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chorismate metabolic process (GO:0046417)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
D-amino acid metabolic process (GO:0046416)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein autophosphorylation (GO:0046777)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of transport (GO:0051049)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
macromolecule biosynthetic process (GO:0009059)	201	0	1.69	-	 < 0.01	4.10E-01	1.00E00
DNA biosynthetic process (GO:0071897)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt, non-oxidative branch (GO:0009052)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt, oxidative branch (GO:0009051)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
detoxification (GO:0098754)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosystem II assembly (GO:0010207)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
photosystem II repair (GO:0010206)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle process (GO:0010564)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide core region metabolic process (GO:0046401)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell aggregation (GO:0098743)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nor-spermidine biosynthetic process (GO:0045312)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleic acid-templated transcription (GO:0097659)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
glycine decarboxylation via glycine cleavage system (GO:0019464)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine omega-N-methylation (GO:0035247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine N-methylation (GO:0035246)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
DNA replication, removal of RNA primer (GO:0043137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nitrogen fixation (GO:0009399)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FMN biosynthetic process (GO:0009398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
import across plasma membrane (GO:0098739)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound biosynthetic process (GO:0009396)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
2'-deoxyribonucleotide metabolic process (GO:0009394)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
fluid transport (GO:0042044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metal incorporation into metallo-molybdopterin complex (GO:0042040)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA pseudouridine synthesis (GO:1990481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' CTP biosynthetic process (GO:0044210)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
[2Fe-2S] cluster assembly (GO:0044571)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamine methylation (GO:0018364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid biosynthetic process (GO:0042398)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
isoprenoid biosynthetic process (GO:0008299)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
AMP salvage (GO:0044209)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
'de novo' AMP biosynthetic process (GO:0044208)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spermidine biosynthetic process (GO:0008295)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UMP salvage (GO:0044206)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' UMP biosynthetic process (GO:0044205)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA (GO:0000470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to kynurenine (GO:0019441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of glutamate-ammonia ligase activity (GO:1905479)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate-ammonia ligase activity (GO:1905478)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium ion import across plasma membrane (GO:0098719)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell growth (GO:0001558)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
